BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
ath_art_500.fq.soap.bam 0 238729 195222 1143 0.994179 0.822544 0.908362 0.982124
ath_art_500.fq.soap.bam 1 238729 193253 24 0.999876 0.809608 0.904742 0.986242
ath_art_500.fq.soap.bam 2 238729 193253 24 0.999876 0.809608 0.904742 0.986242
ath_art_500.fq.soap.bam 3 238729 193253 24 0.999876 0.809608 0.904742 0.986242
ath_art_500.fq.soap.bam 4 238729 193253 24 0.999876 0.809608 0.904742 0.986242
ath_art_500.fq.soap.bam 5 238729 193253 24 0.999876 0.809608 0.904742 0.986242
ath_art_500.fq.soap.bam 10 238729 193253 24 0.999876 0.809608 0.904742 0.986242
ath_art_500.fq.soap.bam 15 238729 193253 24 0.999876 0.809608 0.904742 0.986242
ath_art_500.fq.soap.bam 20 238729 193253 24 0.999876 0.809608 0.904742 0.986242
ath_art_500.fq.soap.bam 25 238729 193253 24 0.999876 0.809608 0.904742 0.986242
ath_art_500.fq.soap.bam 30 238729 193253 24 0.999876 0.809608 0.904742 0.986242
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
ath_art_500.fq.bt2.bam 0 238729 235773 1751 0.992628 0.994952 0.99379 0.992764
ath_art_500.fq.bt2.bam 1 238729 235026 1462 0.993818 0.990613 0.992215 0.993629
ath_art_500.fq.bt2.bam 2 238729 232800 300 0.998713 0.976421 0.987567 0.997374
ath_art_500.fq.bt2.bam 3 238729 232478 140 0.999398 0.974402 0.9869 0.997892
ath_art_500.fq.bt2.bam 4 238729 232337 120 0.999484 0.973728 0.986606 0.997931
ath_art_500.fq.bt2.bam 5 238729 232300 116 0.999501 0.973556 0.986528 0.997937
ath_art_500.fq.bt2.bam 10 238729 228868 42 0.999817 0.95887 0.979343 0.997312
ath_art_500.fq.bt2.bam 15 238729 226390 29 0.999872 0.948435 0.974154 0.996692
ath_art_500.fq.bt2.bam 20 238729 222137 20 0.99991 0.930582 0.965246 0.995547
ath_art_500.fq.bt2.bam 25 238729 217111 5 0.999977 0.909466 0.954722 0.994157
ath_art_500.fq.bt2.bam 30 238729 209305 3 0.999986 0.87676 0.938373 0.991786
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
ath_art_500.fq.bwaaln.bam 0 238729 234229 1274 0.99459 0.986487 0.990538 0.99411
ath_art_500.fq.bwaaln.bam 1 238729 231951 95 0.999591 0.972006 0.985799 0.997925
ath_art_500.fq.bwaaln.bam 2 238729 231951 95 0.999591 0.972006 0.985799 0.997925
ath_art_500.fq.bwaaln.bam 3 238729 231951 95 0.999591 0.972006 0.985799 0.997925
ath_art_500.fq.bwaaln.bam 4 238729 231951 95 0.999591 0.972006 0.985799 0.997925
ath_art_500.fq.bwaaln.bam 5 238729 231951 95 0.999591 0.972006 0.985799 0.997925
ath_art_500.fq.bwaaln.bam 10 238729 231951 95 0.999591 0.972006 0.985799 0.997925
ath_art_500.fq.bwaaln.bam 15 238729 231945 94 0.999595 0.971977 0.985786 0.997927
ath_art_500.fq.bwaaln.bam 20 238729 231877 86 0.999629 0.971658 0.985644 0.997939
ath_art_500.fq.bwaaln.bam 25 238729 231061 60 0.99974 0.968131 0.983935 0.997824
ath_art_500.fq.bwaaln.bam 30 238729 230984 46 0.999801 0.96775 0.983776 0.997857
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
ath_art_500.fq.bwamem.bam 0 238729 236785 1922 0.991948 0.999908 0.995928 0.992413
