BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_200.fq.bwamem.bam 0 29455551 28950149 505400 0.982842 1 0.991421 0.983835
hsa_art_200.fq.bwamem.bam 1 29455551 28300504 2183 0.999923 0.960861 0.980392 0.997538
hsa_art_200.fq.bwamem.bam 2 29455551 28288956 2008 0.999929 0.960463 0.980196 0.997518
hsa_art_200.fq.bwamem.bam 3 29455551 28275848 1859 0.999934 0.960013 0.979974 0.997494
hsa_art_200.fq.bwamem.bam 4 29455551 28256005 1632 0.999942 0.959331 0.979637 0.997458
hsa_art_200.fq.bwamem.bam 5 29455551 28223970 1325 0.999953 0.958233 0.979093 0.997399
hsa_art_200.fq.bwamem.bam 10 29455551 28015493 470 0.999983 0.951127 0.975555 0.996971
hsa_art_200.fq.bwamem.bam 15 29455551 28000168 396 0.999986 0.950604 0.975295 0.99694
hsa_art_200.fq.bwamem.bam 20 29455551 27786954 128 0.999995 0.943356 0.971675 0.996476
hsa_art_200.fq.bwamem.bam 25 29455551 27755065 107 0.999996 0.942273 0.971135 0.996405
hsa_art_200.fq.bwamem.bam 30 29455551 27595081 55 0.999998 0.93684 0.968419 0.996048
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_200.fq.soap.bam 0 29455551 28314514 493107 0.982883 0.978003 0.980443 0.982595
hsa_art_200.fq.soap.bam 1 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
hsa_art_200.fq.soap.bam 2 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
hsa_art_200.fq.soap.bam 3 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
hsa_art_200.fq.soap.bam 4 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
hsa_art_200.fq.soap.bam 5 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
hsa_art_200.fq.soap.bam 10 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
hsa_art_200.fq.soap.bam 15 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
hsa_art_200.fq.soap.bam 20 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
hsa_art_200.fq.soap.bam 25 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
hsa_art_200.fq.soap.bam 30 29455551 27743132 5295 0.999809 0.942044 0.970927 0.996216
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_200.fq.bt2.bam 0 29455551 28929771 522811 0.982249 0.999899 0.991074 0.98327
hsa_art_200.fq.bt2.bam 1 29455551 28929583 519092 0.982373 0.999767 0.99107 0.983379
hsa_art_200.fq.bt2.bam 2 29455551 28357217 28322 0.999002 0.963674 0.981338 0.996852
hsa_art_200.fq.bt2.bam 3 29455551 28357008 23956 0.999156 0.963518 0.981337 0.996987
hsa_art_200.fq.bt2.bam 4 29455551 28356990 23714 0.999164 0.96351 0.981337 0.996994
hsa_art_200.fq.bt2.bam 5 29455551 28356977 23618 0.999168 0.963506 0.981337 0.996997
hsa_art_200.fq.bt2.bam 10 29455551 27901085 3879 0.999861 0.947358 0.97361 0.996612
hsa_art_200.fq.bt2.bam 15 29455551 27758534 1860 0.999933 0.94245 0.971191 0.996358
hsa_art_200.fq.bt2.bam 20 29455551 27548464 936 0.999966 0.935287 0.967626 0.995915
hsa_art_200.fq.bt2.bam 25 29455551 27366964 538 0.99998 0.929112 0.964546 0.995513
hsa_art_200.fq.bt2.bam 30 29455551 26953873 191 0.999993 0.915076 0.957534 0.994564
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_200.fq.bwaaln.bam 0 29455551 28949704 505453 0.98284 0.999987 0.991413 0.983832
hsa_art_200.fq.bwaaln.bam 1 29455551 28351404 2133 0.999925 0.962587 0.981256 0.997649
hsa_art_200.fq.bwaaln.bam 2 29455551 28348197 1778 0.999937 0.962466 0.981202 0.997652
hsa_art_200.fq.bwaaln.bam 3 29455551 28345078 1472 0.999948 0.96235 0.981149 0.997655
hsa_art_200.fq.bwaaln.bam 4 29455551 28342310 1281 0.999955 0.96225 0.981102 0.997655
hsa_art_200.fq.bwaaln.bam 5 29455551 28339429 1121 0.99996 0.962146 0.981053 0.997654
hsa_art_200.fq.bwaaln.bam 10 29455551 28321211 597 0.999979 0.96151 0.980744 0.997631
hsa_art_200.fq.bwaaln.bam 15 29455551 28296025 374 0.999987 0.960647 0.980317 0.997584
hsa_art_200.fq.bwaaln.bam 20 29455551 28243826 222 0.999992 0.95887 0.979431 0.997476
hsa_art_200.fq.bwaaln.bam 25 29455551 28020269 15 0.999999 0.951273 0.975636 0.996995
hsa_art_200.fq.bwaaln.bam 30 29455551 28020264 15 0.999999 0.951273 0.975636 0.996995
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_100.fq.soap.bam 0 58916702 54938005 1670261 0.970494 0.960819 0.965656 0.969919
hsa_art_100.fq.soap.bam 1 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
hsa_art_100.fq.soap.bam 2 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
hsa_art_100.fq.soap.bam 3 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
hsa_art_100.fq.soap.bam 4 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
hsa_art_100.fq.soap.bam 5 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
hsa_art_100.fq.soap.bam 10 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
hsa_art_100.fq.soap.bam 15 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
hsa_art_100.fq.soap.bam 20 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
hsa_art_100.fq.soap.bam 25 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
hsa_art_100.fq.soap.bam 30 58916702 53484790 50324 0.99906 0.908658 0.953859 0.993247
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
